Date,Open,High,Low,Close,Adj Close,Volume
1988-12-09,175.712006,175.712006,175.712006,175.712006,66.894875,0
1988-12-12,175.712006,175.712006,175.712006,175.712006,66.894875,0
1988-12-13,178.203995,178.203995,178.203995,178.203995,67.843590,0
1988-12-14,179.449997,179.449997,179.449997,179.449997,68.317963,0
1988-12-15,181.942993,181.942993,181.942993,181.942993,69.267067,0
1988-12-16,186.304993,186.304993,186.304993,186.304993,70.927704,0
1988-12-19,185.681000,185.681000,185.681000,185.681000,70.690155,0
1988-12-20,185.681000,185.681000,185.681000,185.681000,70.690155,0
1988-12-21,185.681000,185.681000,185.681000,185.681000,70.690155,0
1988-12-22,186.927994,186.927994,186.927994,186.927994,71.164909,0
1988-12-23,186.927994,186.927994,186.927994,186.927994,71.164909,0
1988-12-26,186.927994,186.927994,186.927994,186.927994,71.164909,0
1988-12-27,186.927994,186.927994,186.927994,186.927994,71.164909,0
1988-12-28,188.173996,188.173996,188.173996,188.173996,71.639290,0
1988-12-29,191.912003,191.912003,191.912003,191.912003,73.062355,0
1988-12-30,191.912003,191.912003,191.912003,191.912003,73.062355,0
1989-01-02,191.912003,191.912003,191.912003,191.912003,73.062355,0
1989-01-03,186.927994,186.927994,186.927994,186.927994,71.164909,0
1989-01-04,186.927994,186.927994,186.927994,186.927994,71.164909,0
1989-01-05,185.681000,185.681000,185.681000,185.681000,70.690155,0
1989-01-06,188.173996,188.173996,188.173996,188.173996,71.639290,0
1989-01-09,193.158997,193.158997,193.158997,193.158997,73.537086,0
1989-01-10,195.649994,195.649994,195.649994,195.649994,74.485451,0
1989-01-11,191.912003,191.912003,191.912003,191.912003,73.062355,0
1989-01-12,193.158997,193.158997,193.158997,193.158997,73.537086,0
1989-01-13,194.404999,194.404999,194.404999,194.404999,74.011452,0
1989-01-16,191.912003,191.912003,191.912003,191.912003,73.062355,0
1989-01-17,191.912003,191.912003,191.912003,191.912003,73.062355,0
1989-01-18,197.520004,197.520004,197.520004,197.520004,75.197350,0
1989-01-19,199.389999,199.389999,199.389999,199.389999,75.909271,0
1989-01-20,199.389999,199.389999,199.389999,199.389999,75.909271,0
1989-01-23,203.128006,203.128006,203.128006,203.128006,77.332359,0
1989-01-24,205.621002,205.621002,205.621002,205.621002,78.281433,0
1989-01-25,206.244003,206.244003,206.244003,206.244003,78.518639,0
1989-01-26,207.488998,207.488998,207.488998,207.488998,78.992645,0
1989-01-27,218.082993,218.082993,218.082993,218.082993,83.025841,0
1989-01-30,227.429001,227.429001,227.429001,227.429001,86.583939,0
